,urls,label
0,http://www.lineac.cn/,1
1,http://www.soradtt.com/werinkolss/,1
2,http://irs.tax.gov.customercare.3206250713.tax.sa.www4.canoncopiermumbai.com/sa_www4/start.html,1
3,http://taxi956.ru/irs/,1
4,https://mankyousam.info/lil/att/attiinnddeexx.php,1
5,https://macfoundmm.com/,1
6,http://j77611mk.bget.ru/,1
7,http://csgopoly.ru/openid/login/,1
8,https://steampawered.ru.com/,1
9,http://steamcomunity.ru.com/login/,1
10,http://staemccommunlty.ml/login/home/,1
11,http://steaamcommunity.cf/login/home/,1
12,https://getstellrlmns-invitationonly-0078349.xyz/fbrec22/Payment-update-0.html,1
13,https://yourskins.ru/openid/login/,1
14,https://g2drop.com/loginer/?abc=cac&amp;referal=,1
15,https://getstellrlmns-invitationonly-0078349.xyz/fbrec22/recovery.html,1
16,https://storeteampowere.000webhostapp.com/steam_auth/index.html,1
17,http://steaamcommunity.ga/login/home/,1
18,http://wabnetdoor01.co.nf/,1
19,http://host1693205.hostland.pro/,1
20,http://jirniyjopa.zzz.com.ua/openid/login/,1
21,https://e-skins.ru/openid/login/,1
22,https://meetcita.com/(flp)/?email=abuse@healthcollab.org,1
23,http://gg21341.000webhostapp.com/indexz.php,1
24,https://jyodrop.ru/openid/login/,1
25,http://secure-support-us.com/login.php,1
26,http://secure-support-us.com/fb-support.htm,1
27,https://individuals.ml/aa/AT&T/index.php,1
28,http://pilovi.cf/se.cu.er.162/2421.4365fdgsj/,1
29,http://owastgotanation.co.nf/,1
30,https://internet.credicoopinternet.com/.backend/.home/.login/,1
31,https://internet.credicoopinternet.com/.backend/.home/.login/bcclbi/,1
32,https://internet.credicoopinternet.com/.backend/.home/.login/bcclbe/,1
33,http://ajitomo.net/wizzy/attiinnddeexx.php,1
34,http://madrinalex.ml/new/Validation/login.php?userid=abuse@domain.ch,1
35,http://www.worldrun.net/INIpay41/Atendimento/recadastrobb/zn/seguro/acesso/index.php,1
36,https://yatt.godaddysites.com/,1
37,http://mexsofa.com/contact/package/one/drive.live.com.signon/req/index.html,1
38,https://ilikethatstory.icu/james/index.htm,1
39,https://prancreiadonorte.com/web/desktop/,1
